구분,계정명,채널명,프로필 URL,AI 캐릭터 유형,캐릭터 운용 방식,수집 릴스 수,평균 조회수,최고 조회수,업로드 기간,주력 주제,잘 나온 포맷,썸네일 후킹 방식,대본/CTA 방식,제작 포인트,대표 릴스 URL,대표 썸네일 URL,Top5 레퍼런스 URL,판단 근거,비고/주의
핵심,@luckypower_good88,운기칠삼,https://www.instagram.com/luckypower_good88/,AI 아동/여성/노년 인물 캐릭터,"운세 화자 이미지를 매번 바꾸되, 강한 원색 자막과 댓글 띠 유도를 고정",277,107049,2062000,2025-06-13 ~ 2026-06-03,"띠별 재물운, 속궁합, 금지행동, 2026 운세",인물 클로즈업 + 큰 금색/초록 자막 + 본인띠 댓글 유도,"인물 얼굴을 크게 두고 '미친돈운', '무섭게 큰 재물', '절대 못 헤어지는' 같은 강한 단어 사용","댓글에 본인띠 입력, 팔로우 순서대로 운세, 프로필 부적/링크 유도",조회수 최상위. AI 캐릭터를 썸네일 첫 신호로 쓰고 자막은 짧고 굵게 간다.,https://www.instagram.com/luckypower_good88/reel/DR65iUridPo/,https://raw.githubusercontent.com/lodaebone6980/saju-reference-thumbnails/b4e464280c76aa2ac7d5555888a652e85fd769b4/assets/instagram_new_accounts/r0169.jpg,"2,062,000뷰 https://www.instagram.com/luckypower_good88/reel/DR65iUridPo/ | 1,607,000뷰 https://www.instagram.com/luckypower_good88/reel/DLWtpqPJb3L/ | 1,374,000뷰 https://www.instagram.com/luckypower_good88/reel/DR_8KS7CQHP/ | 837,000뷰 https://www.instagram.com/luckypower_good88/reel/DUF3NWOiexA/ | 805,000뷰 https://www.instagram.com/luckypower_good88/reel/DMAejjuJ3rU/","수집 릴스 277개, 평균 107,049뷰, 최고 2,062,000뷰","캐릭터 일관성은 낮지만, AI 인물+강후킹 조합의 성과가 가장 큼"
핵심,@fortune_tellingpower88,운세천당,https://www.instagram.com/fortune_tellingpower88/,AI 할머니 운세 화자 캐릭터,같은 할머니 캐릭터를 반복 노출해 브랜드처럼 사용,305,175216,1265000,2025-06-12 ~ 2026-06-02,"띠별 재물운, 여자띠/남자띠, 로또·복권운, 말년운",할머니 정면샷 + 자극 예언형 문구 + 댓글 본인띠 CTA,"할머니 얼굴 중심, 빨강/노랑/초록 굵은 글자, '죽을 때까지', '복권당첨', '돈 안 끊기는'","팔로우 후 본인띠 댓글, 프로필 부적/운세 확인",AI 캐릭터 단일화가 가장 강함. 우리 채널도 고정 화자 1명을 만들 때 참고.,https://www.instagram.com/fortune_tellingpower88/reel/DP81giEku2q/,https://raw.githubusercontent.com/lodaebone6980/saju-reference-thumbnails/b4e464280c76aa2ac7d5555888a652e85fd769b4/assets/instagram_new_accounts/r0669.jpg,"1,265,000뷰 https://www.instagram.com/fortune_tellingpower88/reel/DP81giEku2q/ | 1,214,000뷰 https://www.instagram.com/fortune_tellingpower88/reel/DL7KMi8SMY6/ | 1,043,000뷰 https://www.instagram.com/fortune_tellingpower88/reel/DSUvXQWknFx/ | 1,001,000뷰 https://www.instagram.com/fortune_tellingpower88/reel/DMmsL2Zyw_h/ | 969,000뷰 https://www.instagram.com/fortune_tellingpower88/reel/DS4zGHUEjCa/","수집 릴스 305개, 평균 175,216뷰, 최고 1,265,000뷰",CTA가 강해서 댓글/DM 자동화와 잘 맞음
핵심,@louisaju_,루이사주ㅣ재물운ㆍ연애운ㆍ운세ㆍ궁합,https://www.instagram.com/louisaju_/,AI 남성 상담가/도령형 인물 캐릭터,젊은 남성 캐릭터를 상담가처럼 앉혀두고 긴 설명형 대본을 사용,16,95735,504000,2026-05-14 ~ 2026-06-02,"부자되는 띠, 직감 강한 띠, 귀인운, 여자띠 재물운",AI 인물 정적 컷 + TOP3/TOP5 순위형 + 명리 설명,"차분한 인물 컷 위 짧은 흰색 자막, '금반지', '귀신같은 직감', '귀인 만나는 띠'","댓글 키워드 남기기, 저장 유도",자극도는 낮지만 설명형 대본의 조회수가 높음. 프리미엄/차분한 채널에 적합.,https://www.instagram.com/louisaju_/reel/DYlzDE2SGaB/,https://raw.githubusercontent.com/lodaebone6980/saju-reference-thumbnails/b4e464280c76aa2ac7d5555888a652e85fd769b4/assets/instagram_new_accounts/r0983.jpg,"504,000뷰 https://www.instagram.com/louisaju_/reel/DYlzDE2SGaB/ | 373,000뷰 https://www.instagram.com/louisaju_/reel/DYfeT4xSsVz/ | 163,000뷰 https://www.instagram.com/louisaju_/reel/DYz2fgvy5eW/ | 117,000뷰 https://www.instagram.com/louisaju_/reel/DYox9_XSkQQ/ | 67,000뷰 https://www.instagram.com/louisaju_/reel/DYwvxfaSQVh/","수집 릴스 16개, 평균 95,735뷰, 최고 504,000뷰",글자수 500~800자 설명형과 궁합 좋음
핵심,@sajucheonmyeong,천명사주 l 사주 • 궁합 • 재물 • 운세,https://www.instagram.com/sajucheonmyeong/,AI 노년 상담가/어르신 캐릭터,어르신 상담가 이미지를 중심으로 명리 용어를 강하게 결합,34,33308,301000,2026-04-26 ~ 2026-06-03,"날짜별 띠 재물운, 병오년, 화생토/식신생재",상담가 인물 + 명리 용어 + 날짜·띠·금액 후킹,"'5월 13일', '빛 돈 대출', '막힌 돈'처럼 날짜+문제 해결형","화면 터치, 댓글 키워드, 프로필 확인",전문 용어를 넣어 권위감을 만드는 방식 참고.,https://www.instagram.com/sajucheonmyeong/reel/DXs44f2E5DB/,https://raw.githubusercontent.com/lodaebone6980/saju-reference-thumbnails/b4e464280c76aa2ac7d5555888a652e85fd769b4/assets/instagram_new_accounts/r0821.jpg,"301,000뷰 https://www.instagram.com/sajucheonmyeong/reel/DXs44f2E5DB/ | 95,000뷰 https://www.instagram.com/sajucheonmyeong/reel/DXlN5wSE5m5/ | 74,000뷰 https://www.instagram.com/sajucheonmyeong/reel/DX72_VTz7Hs/ | 61,000뷰 https://www.instagram.com/sajucheonmyeong/reel/DYGBnCrTu1f/ | 61,000뷰 https://www.instagram.com/sajucheonmyeong/reel/DYA3jLoT5uy/","수집 릴스 34개, 평균 33,308뷰, 최고 301,000뷰",대본이 길어질 수 있어 릴스에서는 핵심만 잘라야 함
핵심,@manbok.dang,만복당,https://www.instagram.com/manbok.dang/,AI 무당 할머니 캐릭터,할미 말투와 무속적 화자를 고정해 강한 몰입감 형성,20,63757,300000,2026-04-22 ~ 2026-05-06,"띠별 경고, 꿈해몽, 재물운, 잠자리궁합",무당 할머니 컷 + 사투리/명령형 대본 + 강한 경고 CTA,"'귀 열고 들어라', '절대 없다', '이것이 온다' 같은 명령형 후킹","댓글 남기기, 저장, 프로필 운세/부적 확인",캐릭터 말투까지 고정한 계정. AI 캐릭터 채널의 세계관 설계에 좋음.,https://www.instagram.com/manbok.dang/reel/DX6OMNZzkjt/,https://raw.githubusercontent.com/lodaebone6980/saju-reference-thumbnails/b4e464280c76aa2ac7d5555888a652e85fd769b4/assets/instagram_new_accounts/r0858.jpg,"300,000뷰 https://www.instagram.com/manbok.dang/reel/DX6OMNZzkjt/ | 238,000뷰 https://www.instagram.com/manbok.dang/reel/DXmMHQ3zdyp/ | 229,000뷰 https://www.instagram.com/manbok.dang/reel/DXdh43fzfHc/ | 109,000뷰 https://www.instagram.com/manbok.dang/reel/DXn1geyzQYC/ | 92,000뷰 https://www.instagram.com/manbok.dang/reel/DXvUs55z9JF/","수집 릴스 20개, 평균 63,757뷰, 최고 300,000뷰",공포·경고 수위는 조절 필요
핵심,@myeongun.saju,명운사주관ㅣ사주 • 금전운 • 건강운 • 연애운,https://www.instagram.com/myeongun.saju/,AI 판타지/동물 캐릭터 일러스트,귀여운 동물과 판타지 장면을 썸네일 배경으로 반복,134,36544,275000,2026-03-03 ~ 2026-06-03,"인연운, 재물문, 신호, 관계 정리, 건강운",일러스트 장면 + 신호/변화형 카피 + 차분한 해석,"동물 캐릭터와 판타지 배경 위 '문이 열린다', '신호가 보인다' 식의 상징 후킹","상담/프로필 유도, 저장 유도",귀여운 캐릭터형 사주 채널로 차별화 가능. 공포보다 판타지 감성.,https://www.instagram.com/myeongun.saju/reel/DVaAOLdiYHf/,https://raw.githubusercontent.com/lodaebone6980/saju-reference-thumbnails/b4e464280c76aa2ac7d5555888a652e85fd769b4/assets/instagram_new_accounts/r0464.jpg,"275,000뷰 https://www.instagram.com/myeongun.saju/reel/DVaAOLdiYHf/ | 176,000뷰 https://www.instagram.com/myeongun.saju/reel/DWsQA9SBM_3/ | 163,000뷰 https://www.instagram.com/myeongun.saju/reel/DV-KL_cAVEo/ | 111,000뷰 https://www.instagram.com/myeongun.saju/reel/DVh0DFXAaxk/ | 100,000뷰 https://www.instagram.com/myeongun.saju/reel/DWIZUm4B-7H/","수집 릴스 134개, 평균 36,544뷰, 최고 275,000뷰",텍스트 가독성은 다소 복잡하니 우리 채널은 더 단순화 필요
핵심,@official_dambaekdang,담백한당,https://www.instagram.com/official_dambaekdang/,AI 중년 여성 상담가 캐릭터,정면 상담 장면을 반복해 안정적인 운세 상담 톤 유지,18,40817,131000,2026-05-11 ~ 2026-05-30,"띠별 재물운, 날짜별 로또/방향, 조상운",상담가 정면샷 + 날짜/띠/행동지시형 짧은 문구,"'5월 30일', '억대 재물', '로또 1등 방향'처럼 구체 날짜와 금액 강조","댓글 키워드, 프로필 확인",썸네일이 정돈되어 있고 동일 인물 반복성이 좋아 브랜드화에 유리.,https://www.instagram.com/official_dambaekdang/reel/DYM9SsBvPU5/,https://raw.githubusercontent.com/lodaebone6980/saju-reference-thumbnails/b4e464280c76aa2ac7d5555888a652e85fd769b4/assets/instagram_new_accounts/r1022.jpg,"131,000뷰 https://www.instagram.com/official_dambaekdang/reel/DYM9SsBvPU5/ | 117,000뷰 https://www.instagram.com/official_dambaekdang/reel/DYO6TD0PpPR/ | 67,000뷰 https://www.instagram.com/official_dambaekdang/reel/DYWQPJEPD_0/ | 67,000뷰 https://www.instagram.com/official_dambaekdang/reel/DYUZX1dPLEU/ | 53,000뷰 https://www.instagram.com/official_dambaekdang/reel/DYramosvdr8/","수집 릴스 18개, 평균 40,817뷰, 최고 131,000뷰",조회수는 핵심 그룹 중 중간이지만 캐릭터 일관성이 좋음
보조,@1000myeongdang,천명당 - 사주명인,https://www.instagram.com/1000myeongdang/,AI 할머니/노년 화자 캐릭터,노년 화자와 어두운 점집 배경을 반복해 신비감 형성,28,22650,184000,2026-05-01 ~ 2026-06-03,"띠별 로또운, 재물운, 금전 비방",할머니 캐릭터 + 날짜/띠 + 짧은 비방 행동,"'로또 터진다', '재물복 터진다', '큰 재물은 들어온다'","댓글 키워드, 저장, 화면 터치",짧은 비방형 대본을 만들 때 참고.,https://www.instagram.com/1000myeongdang/reel/DYwSgWdJ-8c/,https://raw.githubusercontent.com/lodaebone6980/saju-reference-thumbnails/b4e464280c76aa2ac7d5555888a652e85fd769b4/assets/instagram_new_accounts/r0007.jpg,"184,000뷰 https://www.instagram.com/1000myeongdang/reel/DYwSgWdJ-8c/ | 93,000뷰 https://www.instagram.com/1000myeongdang/reel/DYy8HwxpY8p/ | 54,000뷰 https://www.instagram.com/1000myeongdang/reel/DY6tKe-paqZ/ | 50,000뷰 https://www.instagram.com/1000myeongdang/reel/DX3l5eapNro/ | 41,000뷰 https://www.instagram.com/1000myeongdang/reel/DY1d_N6pmhq/","수집 릴스 28개, 평균 22,650뷰, 최고 184,000뷰",평균은 낮지만 최고 18만뷰 이상이라 포맷 참고 가치 있음
보조,@giunsa_yeonhwa,연화 보살 | 기운사 무당,https://www.instagram.com/giunsa_yeonhwa/,AI 무당/보살형 인물 캐릭터,무속 화자와 무료부적 CTA를 반복,16,24560,88000,2026-05-05 ~ 2026-06-03,"띠별 부적, 금전운, 액막이, 경고",어두운 무속 배경 + 강한 빨강/노랑 자막 + 무료부적 CTA,"'댓글 달면 무료부적', '절대 시작하지 마라'처럼 즉시 행동 유도",댓글 달면 무료부적,댓글 자동 DM 시나리오와 가장 직접적으로 연결되는 구조.,https://www.instagram.com/giunsa_yeonhwa/reel/DX7ILXjpfdo/,https://raw.githubusercontent.com/lodaebone6980/saju-reference-thumbnails/b4e464280c76aa2ac7d5555888a652e85fd769b4/assets/instagram_new_accounts/r1004.jpg,"88,000뷰 https://www.instagram.com/giunsa_yeonhwa/reel/DX7ILXjpfdo/ | 80,000뷰 https://www.instagram.com/giunsa_yeonhwa/reel/DYDEtkGS2qe/ | 47,000뷰 https://www.instagram.com/giunsa_yeonhwa/reel/DYPDoPvJwH5/ | 36,000뷰 https://www.instagram.com/giunsa_yeonhwa/reel/DY-CgAFJG_H/ | 22,000뷰 https://www.instagram.com/giunsa_yeonhwa/reel/DYsAX_JphVR/","수집 릴스 16개, 평균 24,560뷰, 최고 88,000뷰",부적 제공 CTA는 실제 제공 플로우가 있어야 함
보조,@foxbunny_kr,폭스바니 | 사주 & 캐릭터챗,https://www.instagram.com/foxbunny_kr/,AI 애니/웹소설형 캐릭터,연애/궁합을 캐릭터챗 스토리로 풀어냄,10,25077,83000,2026-02-03 ~ 2026-05-22,"연애운, 궁합, 캐릭터 대화형 관계 서사",애니 캐릭터 전면 + 스토리형 상황 설정,"캐릭터 얼굴/상반신 + '전남친', '오피스와이프', '궁합' 같은 관계 후킹",앱/프로필 대화 유도,사주를 직접 설명하기보다 캐릭터 서사로 끌고 가는 별도 채널에 적합.,https://www.instagram.com/foxbunny_kr/reel/DVWpQ7eEtMC/,https://raw.githubusercontent.com/lodaebone6980/saju-reference-thumbnails/b4e464280c76aa2ac7d5555888a652e85fd769b4/assets/instagram_new_accounts/r0967.jpg,"83,000뷰 https://www.instagram.com/foxbunny_kr/reel/DVWpQ7eEtMC/ | 70,000뷰 https://www.instagram.com/foxbunny_kr/reel/DU7hQPbkq51/ | 39,000뷰 https://www.instagram.com/foxbunny_kr/reel/DUm9to8koIL/ | 31,000뷰 https://www.instagram.com/foxbunny_kr/reel/DUXknHCkupy/ | 20,000뷰 https://www.instagram.com/foxbunny_kr/reel/DXWAEcJkh5l/","수집 릴스 10개, 평균 25,077뷰, 최고 83,000뷰",성적/자극적 문구 수위 관리 필요
