템플릿 ID,우선순위,포맷 결,주제/시리즈,썸네일 문구 패턴,첫 화면 예시,대본 구조,장면/디자인,CTA/댓글 키워드,캡션/DM 구조,GPT 프롬프트,예시 입력,양산 변수,운영 메모
T01,상,띠별 + 반전 운세 + 댓글,복삼재/대운 반전,{연도} 복삼재인데 오히려 터지는 띠 TOP3,2026년 복삼재인데 돈이 터지는 띠 TOP3,후킹 1문장 -> 해당 띠 3개 -> 왜 반전인지 -> 주의점 -> 댓글 CTA,"9:16 텍스트 카드. 1장 후킹, 2~4장 띠별 풀이, 마지막 CTA.",댓글: 복삼재 / 본인 띠,댓글 키워드 남기면 DM으로 개인 흐름 풀이,"입력한 주제로 30초 사주 릴스 대본을 써줘. 띠 3개를 뽑고 각 띠마다 반전 이유, 주의점, 댓글 CTA를 넣어줘.",2026년 복삼재인데 돈 터지는 띠 TOP3,"연도, 띠, 복/돈/연애/귀인",가장 먼저 돌릴 메인 포맷
T02,상,띠별 + 재물운 + 순위,띠별 재물/로또운,{기간} 돈 들어오는 띠 TOP5,이번 주 돈 들어오는 띠 TOP5,오늘/이번주 기준 -> TOP5 순위 -> 각 띠 한 줄 풀이 -> 저장 CTA,"순위표 느낌. 큰 숫자, 띠 아이콘, 흰/검정 대비 자막.",댓글: 돈복 / 저장,캡션에 각 띠별 상세 풀이 2문장씩 추가,입력한 기간과 주제로 띠별 재물운 TOP5 릴스 대본을 만들어줘. 1위부터 5위까지 짧고 강하게.,6월 둘째주 돈 들어오는 띠 TOP5,"기간, 순위개수, 돈복/횡재/계약/입금",조회수용 기본 포맷
T03,상,띠별 + 귀인운 + DM,귀인/도움운,{월}부터 귀인 붙는 띠,6월부터 귀인 붙는 띠 4개,귀인 신호 3개 -> 해당 띠 -> 어떤 도움인지 -> 댓글 CTA,검정 배경에 금색 포인트. 중간에 귀인/문 열림 이미지.,댓글: 귀인 / 본인 띠,DM 자동응답으로 띠별 귀인 방향 제공,귀인운 주제로 댓글 유도형 릴스 대본을 써줘. 시청자가 자기 일처럼 느끼는 신호를 먼저 제시해줘.,6월부터 귀인 붙는 띠 4개,"월, 띠, 도움 종류, 방향",상담 전환이 좋음
T04,상,상황별 + 운 바뀌는 신호,상황별 신호 운세,요즘 {상황}이면 운 바뀌는 신호입니다,요즘 잠이 안 오면 운이 바뀌는 신호입니다,상황 공감 5개 -> 사주적 해석 -> 좋은 변화 -> 댓글 CTA,실사 배경 + 큰 검정 박스 자막. 속도감 있게 5개 체크.,댓글: 신호 / 저장,캡션에 체크리스트와 해석을 길게 넣기,입력한 상황을 사주적 운 변화 신호로 풀어 25초 릴스 대본을 작성해줘. 체크리스트 5개와 CTA 포함.,요즘 잠이 안 오면 운이 바뀌는 신호,"상황, 감정, 변화 방향",띠보다 범용성이 높음
T05,상,상황별 + 끊어내기 + DM,손절/정리운,{연도} 반드시 끊어내야 복 트이는 사람,2026년 반드시 끊어내야 복 트이는 사람,공감 사례 -> 끊어낼 유형 4개 -> 사주 흐름 -> 댓글 CTA,"무거운 분위기. 빨간 경고선, 짧은 문장 중심.",댓글: 손절 / 정리,DM으로 올해 끊어낼 관계/돈/습관 풀이,끊어내기 주제로 인스타 DM 전환형 사주 대본을 써줘. 공포보다 결단의 느낌으로 작성해줘.,올해 끊어내야 복 트이는 사람,"연도, 관계/돈/직장/습관",댓글 반응이 잘 붙는 경고형
T06,상,음력생일 + 선별감,생일/천복 운세,천복 타고난 음력 생일 TOP7,태어날 때부터 복 깔고 온 음력 생일,음력 생일 후킹 -> 날짜 리스트 -> 복의 종류 -> 댓글 CTA,"달력/날짜 카드. 숫자 크게, 한 줄 설명.",댓글: 생일 / 천복,댓글에 음력 생일 남기면 간단 풀이,음력 생일 운세 릴스 대본을 작성해줘. 날짜 리스트와 각 날짜별 복의 방향을 짧게 써줘.,천복 타고난 음력 생일 TOP7,"음력일, 복 종류, 기간",띠 피로도를 줄이는 대체축
T07,상,일간 + 사주 조건,명리 조건 체크,사주에 {글자/오행} 있으면 {변화} 옵니다,사주에 경금 있으면 올해 돈 기회 옵니다,조건 설명 -> 해당자 특징 -> 올해 변화 -> 주의점 -> CTA,카드뉴스 6~8장. 어려운 용어는 짧게 풀이.,댓글: 일간 / 조건,댓글 키워드로 일간 확인 유도,일간/오행 조건을 쉽게 푸는 릴스 대본을 써줘. 초보도 이해하게 비유를 넣어줘.,사주에 경금 있으면 올해 돈 기회 옵니다,"일간, 오행, 신살, 변화",전문성 확보용
T08,상,연애 + 사주 경고,연애/궁합/재회,이런 사람에게 끌리면 {사주 조건}입니다,자상한 사람에게 식으면 이 사주일 수 있습니다,연애 공감 -> 사주 조건 -> 반복 패턴 -> 해결 방향 -> 댓글 CTA,"감정형 배경. 큰 문장, 느린 전환, 캡션 긴 풀이.",댓글: 연애 / 재회,DM으로 연애 패턴 풀이,연애 공감형 사주 릴스 대본을 써줘. 시청자가 찔리게 공감 문장 5개를 먼저 써줘.,자상한 사람에게 식으면 이 사주,"연애상황, 성별, 조건, 결과",DM 전환에 강함
T09,상,띠별 + 재회/연락,재회/연락운,{월} 다시 연락 오는 띠 TOP3,6월에 전 애인 연락 오는 띠 TOP3,기간 후킹 -> 띠 3개 -> 연락 방식 -> 하지 말 것 -> 댓글 CTA,"순위형. 휴대폰/메시지 배경, 자막 크게.",댓글: 연락 / 재회,댓글 키워드로 재회 가능성 DM,재회운 TOP3 릴스 대본을 써줘. 각 띠별 연락 신호와 주의할 행동을 포함해줘.,6월에 다시 연락 오는 띠 TOP3,"월, 띠, 재회/썸/고백",연애 계정 서브 시리즈
T10,상,풍수 + 집안 특징,집/현관 개운법,운과 복이 붙는 집안 특징 {개수},운과 복이 붙는 집안 특징 5가지,특징 리스트 -> 왜 복이 붙는지 -> 오늘 할 행동 -> 저장 CTA,실내 이미지 + 검정/흰 자막. 리스트 빠르게.,댓글: 개운 / 저장,캡션에 실천법 상세,풍수 개운법 릴스 대본을 써줘. 미신처럼 보이지 않게 생활 팁과 운세 표현을 섞어줘.,운과 복이 붙는 집안 특징 5가지,"집, 현관, 침대, 지갑, 색상",저장률이 좋은 포맷
T11,상,풍수 + 돈복,지갑/현관 재물운,돈이 새는 {공간/물건} 특징,돈이 새는 지갑 특징 5가지,문제 후킹 -> 체크리스트 -> 바꾸는 법 -> 댓글 CTA,"물건 클로즈업. 빨간 X, 초록 체크.",댓글: 돈복 / 지갑,DM보다 저장/공유 중심,돈복 풍수 릴스 대본을 써줘. 체크리스트와 바로 고칠 행동을 포함해줘.,돈이 새는 지갑 특징 5가지,"지갑, 현관, 책상, 침실",재물운과 연결하기 좋음
T12,중상,띠별 + 직장/이직,직업/일운,{월} 이직하면 풀리는 띠,올여름 이직하면 팔자 트이는 띠,막힘 공감 -> 해당 띠 -> 좋은 방향 -> 주의점 -> CTA,사무실/도시 배경. 차분한 자막.,댓글: 이직 / 일운,댓글로 직업운 풀이 유도,직업운 띠별 릴스 대본을 써줘. 직장인 공감 신호와 방향성을 넣어줘.,올여름 이직하면 팔자 트이는 띠,"월, 띠, 직업/사업/계약",상담 객단가 연결 가능
T13,중상,띠별 + 건강/컨디션,건강운/기운,{계절} 기운이 확 바뀌는 띠,장마 전에 몸이 먼저 아는 띠,몸 신호 -> 사주 흐름 -> 조심할 것 -> 댓글 CTA,날씨/계절 배경. 자막은 부드럽게.,댓글: 기운 / 건강,상담 전환은 약하게,건강운을 과장하지 않고 컨디션/기운 중심으로 릴스 대본을 써줘.,장마 전에 몸이 먼저 아는 띠,"계절, 띠, 컨디션",의학 단정 금지
T14,중상,사주 조건 + 돈복,재물 사주 조건,돈복 있는 사주는 {조건}이 다릅니다,돈복 있는 사주는 돈 버는 방식이 다릅니다,조건 3개 -> 성향 -> 돈 버는 방식 -> CTA,단색 배경 + 전문 용어 카드.,댓글: 돈복 / 사주,일간/원국 확인 상담 유도,재물 사주 조건을 쉬운 말로 풀어줘. 조건 3개와 돈 버는 방식 3가지를 포함해줘.,돈복 있는 사주는 돈 버는 방식이 다릅니다,"재성, 식상, 관성, 일간",전문성 강화
T15,중상,사주 조건 + 배우자,배우자복/결혼운,배우자복 있는 사주의 공통점,결혼 후 더 잘 풀리는 사주 특징,공통점 -> 예외 -> 올해 흐름 -> 댓글 CTA,따뜻한 톤. 결혼 이미지보다 텍스트 중심.,댓글: 배우자 / 결혼,DM으로 결혼운 풀이,배우자복 사주 릴스 대본을 써줘. 단정은 피하고 가능성/흐름으로 표현해줘.,결혼 후 더 잘 풀리는 사주 특징,"배우자복, 결혼운, 재회운",여성 타깃에 좋음
T16,중상,상황별 + 돈 막힘,돈 막힘 신호,요즘 돈이 자꾸 새면 {운}이 바뀌는 중,요즘 돈이 자꾸 새면 재물운이 바뀌는 중,돈 새는 상황 -> 원인 -> 끊을 것 -> 받을 것 -> CTA,영수증/지갑 배경. 짧은 자막.,댓글: 돈길 / 정리,댓글 키워드로 돈 흐름 DM,돈 막힘 상황을 재물운 전환 신호로 푸는 대본을 써줘. 행동 조언 3개 포함.,돈이 자꾸 새면 재물운이 바뀌는 중,"상황, 돈, 습관, 관계",월말 콘텐츠로 좋음
T17,중상,상황별 + 인간관계,인연 정리운,갑자기 사람이 싫어지면 운이 바뀝니다,갑자기 연락하기 싫어진 사람 있다면,공감 -> 인연 정리 의미 -> 새 인연 -> CTA,감성 배경. 문장 간격 넓게.,댓글: 인연 / 정리,캡션 긴 풀이와 DM 전환,인간관계 정리운 릴스 대본을 써줘. 위로와 경고를 균형 있게 써줘.,갑자기 연락하기 싫어진 사람 있다면,"관계, 손절, 귀인, 재회",댓글 공감 유도
